epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,1235.75,0.89656,0.90431,1.50176,0.8829,0.81022,0.90397,0.56001,1.30838,0.94958,2.09818,0.0002972,0.0002972,0.0002972
131,1244.41,0.90806,0.87995,1.50954,0.89018,0.82836,0.9165,0.55105,1.31069,0.94355,2.09257,0.000284,0.000284,0.000284
132,1254.33,0.88187,0.87697,1.4788,0.86906,0.83212,0.89841,0.57097,1.29832,0.9029,2.13256,0.0002708,0.0002708,0.0002708
133,1264.43,0.9097,0.8956,1.50849,0.88466,0.85401,0.91913,0.579,1.26148,0.87397,2.06196,0.0002576,0.0002576,0.0002576
134,1273.93,0.88549,0.85548,1.47907,0.88858,0.81752,0.89939,0.57477,1.26794,0.90896,2.07414,0.0002444,0.0002444,0.0002444
135,1282.96,0.88639,0.87598,1.47714,0.86405,0.84672,0.90418,0.5943,1.22972,0.8928,2.00306,0.0002312,0.0002312,0.0002312
136,1293.15,0.87498,0.86248,1.47726,0.87244,0.83212,0.90108,0.58283,1.21394,0.88367,1.95093,0.000218,0.000218,0.000218
137,1302.94,0.86882,0.85176,1.47171,0.8676,0.85401,0.92111,0.56442,1.27069,0.88633,2.05775,0.0002048,0.0002048,0.0002048
138,1312.05,0.86608,0.84569,1.46693,0.90624,0.81022,0.87596,0.55093,1.29773,0.8844,2.12968,0.0001916,0.0001916,0.0001916
139,1322.02,0.85259,0.8525,1.46583,0.90004,0.83212,0.90214,0.56246,1.26669,0.88779,2.0846,0.0001784,0.0001784,0.0001784
140,1331.92,0.88908,0.87103,1.49854,0.90019,0.86131,0.91319,0.55974,1.29316,0.91992,2.09435,0.0001652,0.0001652,0.0001652
141,1344.31,0.85444,0.96974,1.55008,0.90832,0.82482,0.8731,0.50113,1.40208,0.98562,2.26094,0.000152,0.000152,0.000152
142,1353.53,0.76986,0.7693,1.4948,0.8954,0.84672,0.91025,0.54962,1.29229,0.9163,2.13346,0.0001388,0.0001388,0.0001388
143,1363.86,0.76102,0.68563,1.48036,0.89326,0.82482,0.90838,0.56083,1.28003,0.90092,2.07182,0.0001256,0.0001256,0.0001256
144,1373.91,0.75879,0.69065,1.49382,0.86803,0.83212,0.91002,0.58164,1.23233,0.88901,1.98197,0.0001124,0.0001124,0.0001124
145,1382.4,0.75385,0.66969,1.47431,0.87371,0.85401,0.90718,0.56678,1.25756,0.87751,2.02309,9.92e-05,9.92e-05,9.92e-05
146,1392.68,0.74427,0.65568,1.4687,0.8848,0.84096,0.90249,0.56653,1.26584,0.87896,2.03383,8.6e-05,8.6e-05,8.6e-05
147,1403.03,0.74739,0.64713,1.46956,0.87576,0.83942,0.90338,0.5758,1.24628,0.87299,2.00752,7.28e-05,7.28e-05,7.28e-05
148,1412.55,0.71176,0.61996,1.42751,0.89719,0.82813,0.90732,0.57166,1.24977,0.87431,2.00812,5.96e-05,5.96e-05,5.96e-05
149,1422.16,0.74631,0.6567,1.47463,0.88807,0.83212,0.90732,0.56902,1.24514,0.87009,2.0174,4.64e-05,4.64e-05,4.64e-05
150,1432.32,0.7272,0.61428,1.44851,0.89842,0.83922,0.91583,0.56682,1.23163,0.86786,2.00566,3.32e-05,3.32e-05,3.32e-05
