epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,836.521,0.62423,0.56073,1.19945,0.8797,0.89781,0.92855,0.63928,1.02606,0.70823,1.69368,0.0008648,0.0008648,0.0008648
88,845.533,0.62601,0.57295,1.22207,0.89783,0.83942,0.90605,0.62116,1.07685,0.71551,1.82858,0.0008516,0.0008516,0.0008516
89,855.049,0.59955,0.54413,1.20371,0.94417,0.86131,0.96294,0.70431,0.91241,0.6439,1.60737,0.0008384,0.0008384,0.0008384
90,865.212,0.62138,0.56733,1.20256,0.84175,0.84672,0.90815,0.60896,1.11281,0.74501,1.83717,0.0008252,0.0008252,0.0008252
91,873.95,0.62916,0.58199,1.21725,0.83846,0.91971,0.94313,0.66165,0.93785,0.71844,1.61636,0.000812,0.000812,0.000812
92,883.412,0.59325,0.57116,1.20724,0.88936,0.88321,0.92379,0.65787,1.00848,0.6556,1.72062,0.0007988,0.0007988,0.0007988
93,893.382,0.59659,0.54071,1.18504,0.9246,0.81022,0.89583,0.61453,1.0841,0.80136,1.82583,0.0007856,0.0007856,0.0007856
94,902.601,0.60731,0.54938,1.217,0.92054,0.84568,0.92335,0.63796,1.03982,0.71759,1.72606,0.0007724,0.0007724,0.0007724
95,911.935,0.59902,0.55512,1.1953,0.86496,0.84672,0.88697,0.62836,1.01278,0.67925,1.72424,0.0007592,0.0007592,0.0007592
96,921.982,0.59861,0.52925,1.18659,0.92247,0.86844,0.93683,0.66138,0.94867,0.65897,1.63861,0.000746,0.000746,0.000746
97,930.942,0.58394,0.53608,1.18272,0.92082,0.85401,0.90351,0.60932,1.16213,0.74124,1.93766,0.0007328,0.0007328,0.0007328
98,940.382,0.59364,0.51462,1.19054,0.924,0.88746,0.94983,0.69583,0.894,0.63164,1.59524,0.0007196,0.0007196,0.0007196
99,950.078,0.57658,0.53209,1.17434,0.89102,0.85401,0.91812,0.65577,0.96304,0.68444,1.71578,0.0007064,0.0007064,0.0007064
100,959.498,0.5792,0.52131,1.18664,0.93865,0.85401,0.94743,0.68895,0.91251,0.62648,1.59728,0.0006932,0.0006932,0.0006932
101,968.777,0.56457,0.5141,1.17538,0.90743,0.88321,0.94528,0.6958,0.91563,0.63048,1.60698,0.00068,0.00068,0.00068
102,978.88,0.56667,0.49703,1.16952,0.93196,0.89986,0.96358,0.703,0.88172,0.60989,1.58877,0.0006668,0.0006668,0.0006668
103,987.856,0.56549,0.5085,1.16994,0.91542,0.90511,0.96452,0.70341,0.87013,0.65092,1.56554,0.0006536,0.0006536,0.0006536
104,997.418,0.5648,0.52606,1.17555,0.89322,0.86131,0.93464,0.66929,0.9648,0.6767,1.74317,0.0006404,0.0006404,0.0006404
105,1007.56,0.57602,0.53993,1.17814,0.8793,0.86861,0.9178,0.65463,1.03,0.71562,1.79151,0.0006272,0.0006272,0.0006272
106,1017.03,0.56903,0.53234,1.17417,0.94731,0.91866,0.95903,0.68983,0.92649,0.59818,1.66631,0.000614,0.000614,0.000614
107,1025.89,0.54627,0.49643,1.15656,0.92496,0.92701,0.96115,0.71376,0.89366,0.60047,1.55633,0.0006008,0.0006008,0.0006008
108,1036.06,0.53267,0.49899,1.15268,0.92398,0.89781,0.96341,0.68896,0.94574,0.61119,1.67816,0.0005876,0.0005876,0.0005876
109,1045.88,0.56677,0.49777,1.1646,0.91012,0.88697,0.94904,0.67928,0.95738,0.61588,1.66843,0.0005744,0.0005744,0.0005744
110,1054.91,0.55659,0.48671,1.16883,0.95304,0.88874,0.95188,0.71159,0.95008,0.63438,1.64045,0.0005612,0.0005612,0.0005612
111,1065.1,0.55082,0.48494,1.16737,0.92547,0.93431,0.94475,0.69827,0.93022,0.62976,1.64151,0.000548,0.000548,0.000548
112,1074.99,0.53479,0.49208,1.14895,0.93111,0.90511,0.94099,0.70975,0.94399,0.59261,1.63709,0.0005348,0.0005348,0.0005348
113,1083.81,0.55956,0.49931,1.16709,0.93071,0.88246,0.94252,0.70475,0.89857,0.59171,1.57609,0.0005216,0.0005216,0.0005216
114,1093.95,0.545,0.50433,1.14522,0.96533,0.81296,0.92924,0.69709,0.92374,0.6226,1.60943,0.0005084,0.0005084,0.0005084
115,1103.99,0.5473,0.49503,1.16796,0.93119,0.889,0.93544,0.68473,0.93984,0.65315,1.61958,0.0004952,0.0004952,0.0004952
116,1112.46,0.53668,0.47695,1.15413,0.88188,0.87198,0.90669,0.66771,0.96082,0.68482,1.67535,0.000482,0.000482,0.000482
117,1122.39,0.54007,0.48437,1.14777,0.90948,0.88009,0.94149,0.69626,0.94212,0.67955,1.61069,0.0004688,0.0004688,0.0004688
118,1132.12,0.53061,0.47122,1.14658,0.9376,0.83212,0.94349,0.70096,0.90903,0.62835,1.59152,0.0004556,0.0004556,0.0004556
119,1141.18,0.52425,0.48381,1.14922,0.92415,0.86131,0.92898,0.68126,0.98821,0.69863,1.70825,0.0004424,0.0004424,0.0004424
120,1151.11,0.55038,0.48077,1.16765,0.89783,0.89796,0.94773,0.65269,1.02153,0.71045,1.70289,0.0004292,0.0004292,0.0004292
121,1160.99,0.52176,0.48362,1.14389,0.91241,0.83636,0.92799,0.67743,0.97283,0.64683,1.71902,0.000416,0.000416,0.000416
122,1169.56,0.52364,0.46465,1.1429,0.88414,0.86861,0.92051,0.70327,0.90454,0.60128,1.62511,0.0004028,0.0004028,0.0004028
123,1179.51,0.50485,0.46395,1.12379,0.90028,0.86131,0.93436,0.70009,0.91759,0.61793,1.63487,0.0003896,0.0003896,0.0003896
124,1189.67,0.51274,0.46461,1.14046,0.88498,0.84672,0.94611,0.72787,0.87341,0.61191,1.57279,0.0003764,0.0003764,0.0003764
125,1198.33,0.51552,0.46657,1.13953,0.86766,0.86861,0.93513,0.6894,0.97917,0.65948,1.70022,0.0003632,0.0003632,0.0003632
126,1208.17,0.50555,0.45704,1.13867,0.91525,0.86707,0.94683,0.72137,0.90754,0.59221,1.57367,0.00035,0.00035,0.00035
127,1217.91,0.49158,0.4431,1.1145,0.90075,0.89051,0.94579,0.72136,0.87958,0.617,1.56118,0.0003368,0.0003368,0.0003368
128,1226.84,0.51946,0.45522,1.13229,0.94714,0.83212,0.92291,0.70041,0.88623,0.62827,1.62224,0.0003236,0.0003236,0.0003236
129,1236.51,0.50538,0.45417,1.14058,0.91971,0.85401,0.90814,0.67896,0.98757,0.69165,1.72791,0.0003104,0.0003104,0.0003104
130,1246.52,0.483,0.44664,1.118,0.89778,0.87591,0.92225,0.6772,0.99563,0.66549,1.75948,0.0002972,0.0002972,0.0002972
131,1255.31,0.48032,0.43523,1.11658,0.89841,0.89051,0.92687,0.69447,0.99735,0.62902,1.73803,0.000284,0.000284,0.000284
132,1266.83,0.48105,0.43181,1.10776,0.92755,0.87591,0.95238,0.73043,0.87319,0.59037,1.58484,0.0002708,0.0002708,0.0002708
133,1277.62,0.50689,0.44755,1.1298,0.91064,0.90511,0.95192,0.73346,0.89151,0.57236,1.59427,0.0002576,0.0002576,0.0002576
134,1287.89,0.49024,0.43709,1.1199,0.92349,0.88321,0.95391,0.73847,0.87152,0.56297,1.57958,0.0002444,0.0002444,0.0002444
135,1299.78,0.48968,0.44301,1.11781,0.90094,0.89781,0.95284,0.74742,0.86843,0.59385,1.5625,0.0002312,0.0002312,0.0002312
136,1309.25,0.49201,0.43769,1.121,0.91543,0.86861,0.94684,0.73676,0.87957,0.59992,1.56165,0.000218,0.000218,0.000218
137,1319.59,0.46605,0.42471,1.11334,0.91227,0.89051,0.94933,0.74755,0.86013,0.56984,1.54154,0.0002048,0.0002048,0.0002048
138,1330.53,0.45901,0.43415,1.09896,0.93859,0.89253,0.95724,0.72939,0.8623,0.56869,1.56632,0.0001916,0.0001916,0.0001916
139,1339.71,0.46793,0.40794,1.10187,0.91956,0.89781,0.94846,0.72052,0.89029,0.57454,1.60337,0.0001784,0.0001784,0.0001784
140,1349.43,0.4838,0.42459,1.11969,0.91709,0.89781,0.94691,0.71753,0.87085,0.58921,1.56802,0.0001652,0.0001652,0.0001652
141,1361.31,0.38359,0.42462,1.08336,0.93411,0.84672,0.91353,0.64137,1.06648,0.65762,1.83722,0.000152,0.000152,0.000152
142,1370.59,0.34565,0.32034,1.05874,0.91832,0.87591,0.92364,0.65813,1.00406,0.66004,1.75233,0.0001388,0.0001388,0.0001388
143,1380.19,0.31775,0.29267,1.02293,0.94708,0.89051,0.93348,0.70767,0.88447,0.57627,1.6083,0.0001256,0.0001256,0.0001256
144,1389.88,0.32598,0.285,1.02936,0.90915,0.87659,0.93574,0.72888,0.85857,0.58539,1.5715,0.0001124,0.0001124,0.0001124
145,1399.11,0.31991,0.27001,1.02165,0.88426,0.89228,0.93156,0.73629,0.82879,0.57127,1.55521,9.92e-05,9.92e-05,9.92e-05
146,1407.59,0.32519,0.27145,1.02981,0.8906,0.89131,0.93325,0.72912,0.81905,0.55592,1.54764,8.6e-05,8.6e-05,8.6e-05
147,1417.17,0.3195,0.26292,1.02109,0.8867,0.91397,0.94779,0.74183,0.81736,0.55147,1.54427,7.28e-05,7.28e-05,7.28e-05
148,1426.46,0.30267,0.25725,1.00479,0.88696,0.90511,0.94918,0.74831,0.82051,0.54987,1.53604,5.96e-05,5.96e-05,5.96e-05
149,1435.06,0.2945,0.25561,1.01429,0.89586,0.90511,0.95073,0.74436,0.82229,0.55547,1.53372,4.64e-05,4.64e-05,4.64e-05
150,1445.31,0.28819,0.24873,0.98894,0.85997,0.94138,0.94229,0.74357,0.83099,0.55463,1.55115,3.32e-05,3.32e-05,3.32e-05
